,ACRES,ACTIVE,CAUSE,CDATE,DPRIORITY,ECOSTS,EDAMAGE,ENAME,EVENT_ID,F_CONTAIN,GPRIORITY,ITYPE,LATDEG,LATMIN,LOCATE,LONGDEG,LONGMIN,NARRATIVE,NEWACRES,PERSONNEL,REPDATE,STARTDATE,TEAMNAME,TEAMTYPE,UN_UNITID,UN_USTATE,SEQ_NUM,CY,HOUR,START_YEAR,FIRE_EVENT_ID,POO_LATITUDE,POO_LONGITUDE,AREA_MEASUREMENT,IMT_MGMT_ORG_DESC,INCTYP_IDENTIFIER,POO_STATE_NAME,INCIDENT_ID,COMPLEX_NAME,INCIDENT_NAME_CORRECTED,INCIDENT_NUMBER_CORRECTED,DISCOVERY_DATE_CORRECTED
215,1500.0,N,H,4/29/99,,,,JUNEBERRY,MN-MNS-,100.0,,WF,0.0,0.0,Roseau,0.0,0.0,wildfire,0,4.0,1999-04-29,1999-04-28,,,MNS,MN,1,1999,0.0,1999.0,MN-MNS-|1999|1,0.0,-0.0,Acres,,9851,MINNESOTA,,,,,
255,1200.0,N,H,05/04/99,,,,ANDOVER FIRE,MN-MNS-,90.0,,WF,0.0,0.0,Andover,0.0,0.0,good suppression!,0,92.0,1999-05-04,1999-05-03,,,MNS,MN,2,1999,0.0,1999.0,MN-MNS-|1999|2,0.0,-0.0,Acres,,9851,MINNESOTA,,,,,
268,636.0,N,H,05/05/99,,150000.0,160000.0,ANDOVER FIRE,MN-MNS-,100.0,,WF,0.0,2.0,Andover,31.0,24.0,good suppression!,0,92.0,1999-05-05,1999-05-03,Dave Sterr,2,MNS,MN,2,1999,0.0,1999.0,MN-MNS-|1999|2,0.03333333333333333,-31.4,Acres,Type 2 Team,9851,MINNESOTA,,,,,
1133,715.0,N,H,7-12-99,,,,SOAP,NV-NNS-488,100.0,,WF,40.0,48.0,Carlin Nev 11 miles north,116.0,14.0,contained today at 1300 with dozers.,0,70.0,1999-07-12,1999-07-11,Tom Bingaman,3,NNS,NV,1,1999,0.0,1999.0,NV-NNS-488|1999|1,40.8,-116.23333333333333,Acres,Type 3 Team,9851,NEVADA,,,,,
1145,,N,H,,,,,DOUBLE RUN FIRE,WA-SWS-RAZ,,,WF,0.0,0.0,,0.0,0.0,nan,0,,1999-07-12,1999-07-12,,,SWS,WA,1,1999,0.0,1999.0,WA-SWS-RAZ|1999|1,0.0,-0.0,Acres,,9851,WASHINGTON,,,,,
1516,10000.0,N,L,,,,,IZZENHOOD,NV-BWD-0119,0.0,,WF,40.0,52.0,,116.0,55.0,nan,0,,1999-08-05,1999-08-05,HEFNER,2,BWD,NV,1,1999,0.0,1999.0,NV-BWD-0119|1999|1,40.86666666666667,-116.91666666666667,Acres,Type 2 Team,9851,NEVADA,,,,,
1523,1500.0,N,L,8/5/99,3,,,WILDER CREEK,OR-BUD-2150,100.0,,WF,41.0,59.0,Denio Oregon,118.0,34.0,"lightning caused fire burning in grass & sage. limited moisture assisted in ia, 2 rural rfd's on site.",0,,1999-08-05,1999-08-04,Danny Y,4,BUD,OR,1,1999,0.0,1999.0,OR-BUD-2150|1999|1,41.983333333333334,-118.56666666666666,Acres,Type 3 IC,9851,OREGON,,,,,
1595,15000.0,N,L,,,,0.0,LONE BUTTE,NV-WID-J530,100.0,,WF,40.0,59.0,15 air miles NE of Golconda,117.0,24.0,"the fire, one of the three fires in the corridor complex, has been contained and controlled.",0,0.0,1999-08-07,1999-08-05,Richer,1,WID,NV,1,1999,0.0,1999.0,NV-WID-J530|1999|1,40.983333333333334,-117.4,Acres,Type 1 Team,9851,NEVADA,,,,,
1603,35000.0,N,L,8/8/99,,,,CHIMNEY,NV-WID-J527,75.0,,WF,41.0,29.0,45 Miles NE of Golconda,117.0,1.0,this fire is the only active fire remaining within the corridor complex (refer to that narrative for more information).,0,,1999-08-07,1999-08-06,,3,WID,NV,1,1999,0.0,1999.0,NV-WID-J527|1999|1,41.483333333333334,-117.01666666666667,Acres,Type 3 Team,9851,NEVADA,,,,,
1606,6000.0,N,L,,,60000.0,,POCO,NV-CCD-J744,100.0,,WF,39.0,33.0,IN THE JOBS PEAK WSA,118.0,18.0,this fire is now being reported under the new pass complex.  bill williams type ii imt!,0,63.0,1999-08-07,1999-08-05,,,CCD,NV,1,1999,0.0,1999.0,NV-CCD-J744|1999|1,39.55,-118.3,Acres,,9851,NEVADA,,,,,
1625,5000.0,N,L,,,,,SHIRT TAIL,NV-CCD-J745,100.0,,WF,39.0,33.0,"15 miles NE of Fallon, NV",118.0,16.0,fire now being reported under the new pass complex.,0,,1999-08-07,1999-08-05,,,CCD,NV,1,1999,0.0,1999.0,NV-CCD-J745|1999|1,39.55,-118.26666666666667,Acres,,9851,NEVADA,,,,,
