"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2022,141,119,22,0,0,0,0,96,52,40,0,0,114,27,0
"Alabama","Clay",2022,58,50,8,0,0,0,0,64,52,27,0,0,0,58,0
"Alabama","DeKalb",2022,242,225,17,0,0,0,0,97,48,37,0,0,224,18,0
"Alabama","Elmore",2022,117,110,7,0,0,0,0,67,47,37,0,0,117,0,0
"Alabama","Etowah",2022,179,140,39,0,0,0,0,93,58,42,0,0,76,103,0
"Alabama","Jefferson",2022,182,89,91,2,0,0,0,105,74,51,1,0,67,114,0
"Alabama","Madison",2022,181,134,47,0,0,0,0,97,60,43,0,0,71,107,3
"Alabama","Mobile",2022,180,143,37,0,0,0,0,93,58,42,0,0,73,107,0
"Alabama","Montgomery",2022,181,148,33,0,0,0,0,95,58,41,0,0,103,78,0
"Alabama","Morgan",2022,181,136,45,0,0,0,0,97,60,43,0,0,83,98,0
"Alabama","Russell",2022,180,130,50,0,0,0,0,96,63,44,0,0,70,110,0
"Alabama","Shelby",2022,122,109,12,1,0,0,0,105,51,41,0,0,122,0,0
"Alabama","Sumter",2022,180,161,19,0,0,0,0,79,51,34,0,0,74,106,0
"Alabama","Tuscaloosa",2022,139,121,18,0,0,0,0,87,53,37,0,0,107,32,0
"Alaska","Anchorage ",2022,244,214,29,1,0,0,0,125,54,21,5,0,0,104,135
"Alaska","Denali ",2022,211,207,4,0,0,0,0,61,44,38,0,0,211,0,0
"Alaska","Fairbanks North Star ",2022,201,140,45,8,7,1,0,280,85,39,23,0,89,86,3
"Alaska","Juneau ",2022,188,171,17,0,0,0,0,89,46,14,0,0,0,187,1
"Alaska","Matanuska-Susitna ",2022,238,221,17,0,0,0,0,83,35,10,0,0,0,127,111
"Arizona","Apache",2022,273,271,2,0,0,0,0,57,29,11,0,0,0,21,252
"Arizona","Cochise",2022,273,203,69,1,0,0,0,101,64,45,0,0,195,0,78
"Arizona","Coconino",2022,273,196,76,1,0,0,0,101,67,47,0,0,273,0,0
"Arizona","Gila",2022,273,158,97,16,2,0,0,177,90,48,0,0,257,0,16
"Arizona","La Paz",2022,267,187,79,1,0,0,0,130,71,45,0,0,248,5,14
"Arizona","Maricopa",2022,303,60,168,56,13,6,0,264,133,74,0,0,235,17,51
"Arizona","Mohave",2022,273,257,15,1,0,0,0,115,36,18,0,0,0,0,273
"Arizona","Navajo",2022,272,221,51,0,0,0,0,93,61,43,0,0,209,0,63
"Arizona","Pima",2022,273,157,108,8,0,0,0,142,78,48,0,0,123,15,135
"Arizona","Pinal",2022,271,73,174,23,1,0,0,159,100,66,0,0,153,5,113
"Arizona","Santa Cruz",2022,270,224,46,0,0,0,0,93,60,32,0,0,0,181,89
"Arizona","Yavapai",2022,273,249,24,0,0,0,0,87,49,42,0,0,273,0,0
"Arizona","Yuma",2022,273,169,95,9,0,0,0,142,80,46,0,0,173,32,68
"Arkansas","Arkansas",2022,35,31,4,0,0,0,0,60,54,28,0,0,0,35,0
"Arkansas","Ashley",2022,36,34,2,0,0,0,0,61,48,27,0,0,0,36,0
"Arkansas","Clark",2022,241,232,9,0,0,0,0,90,45,36,0,0,241,0,0
"Arkansas","Crittenden",2022,272,244,25,2,1,0,0,156,51,32,0,81,173,18,0
"Arkansas","Garland",2022,39,36,3,0,0,0,0,67,48,33,0,0,0,39,0
"Arkansas","Jackson",2022,37,32,5,0,0,0,0,67,55,28,0,0,0,37,0
"Arkansas","Newton",2022,181,169,11,1,0,0,0,105,48,39,0,0,181,0,0
"Arkansas","Polk",2022,192,186,4,2,0,0,0,105,47,36,0,0,178,14,0
"Arkansas","Pulaski",2022,272,190,81,1,0,0,0,115,61,43,0,3,103,166,0
"Arkansas","Union",2022,37,26,11,0,0,0,0,66,58,32,0,0,0,37,0
"Arkansas","Washington",2022,200,189,10,1,0,0,0,108,48,38,0,0,176,15,9
"California","Alameda",2022,244,170,72,2,0,0,0,122,61,41,1,2,144,97,0
"California","Amador",2022,181,173,8,0,0,0,0,71,45,35,0,0,181,0,0
"California","Butte",2022,187,144,43,0,0,0,0,90,67,43,1,0,143,43,0
"California","Calaveras",2022,180,155,25,0,0,0,0,67,54,38,0,0,130,48,2
"California","Colusa",2022,179,150,29,0,0,0,0,79,55,40,0,0,113,62,4
"California","Contra Costa",2022,244,185,59,0,0,0,0,97,57,42,1,0,138,105,0
"California","Del Norte",2022,171,163,8,0,0,0,0,70,40,23,0,0,0,171,0
"California","El Dorado",2022,181,150,30,1,0,0,0,105,58,43,0,0,178,0,3
"California","Fresno",2022,243,77,134,31,1,0,0,151,103,64,0,0,166,73,4
"California","Glenn",2022,176,163,13,0,0,0,0,93,48,40,0,0,151,19,6
"California","Humboldt",2022,274,269,5,0,0,0,0,68,32,23,1,0,214,30,29
"California","Imperial",2022,238,82,122,23,4,2,5,762,114,57,0,4,74,42,118
"California","Inyo",2022,304,162,125,11,2,2,2,1445,85,50,0,0,177,94,33
"California","Kern",2022,210,81,106,21,2,0,0,152,107,57,0,0,102,92,16
"California","Kings",2022,304,76,197,30,1,0,0,187,101,67,0,0,174,72,58
"California","Lake",2022,15,15,0,0,0,0,0,33,23,16,0,0,0,14,1
"California","Los Angeles",2022,182,18,131,21,12,0,0,192,129,69,1,32,83,59,7
"California","Madera",2022,120,70,48,2,0,0,0,112,79,48,0,0,67,51,2
"California","Marin",2022,244,230,14,0,0,0,0,87,46,33,1,2,160,81,0
"California","Mariposa",2022,212,158,53,1,0,0,0,136,64,45,0,0,204,7,1
"California","Merced",2022,90,41,47,2,0,0,0,115,85,53,0,0,31,58,1
"California","Mono",2022,181,146,18,2,4,1,10,7577,68,18,0,0,0,106,75
"California","Monterey",2022,182,166,16,0,0,0,0,63,49,39,1,0,135,31,15
"California","Nevada",2022,243,146,89,8,0,0,0,119,84,48,0,0,207,36,0
"California","Orange",2022,182,99,77,4,2,0,0,156,77,49,1,12,121,44,4
"California","Placer",2022,243,125,106,12,0,0,0,133,87,50,0,0,206,36,1
"California","Plumas",2022,243,147,80,14,2,0,0,157,92,40,0,0,0,243,0
"California","Riverside",2022,243,49,110,57,20,2,5,1564,151,77,0,0,137,33,73
"California","Sacramento",2022,211,155,51,5,0,0,0,118,80,40,0,0,117,92,2
"California","San Benito",2022,212,189,23,0,0,0,0,97,51,42,0,0,201,10,1
"California","San Bernardino",2022,211,27,121,41,20,2,0,225,151,76,0,13,130,54,14
"California","San Diego",2022,283,156,120,6,1,0,0,156,77,49,0,2,101,176,4
"California","San Francisco",2022,243,214,29,0,0,0,0,76,52,33,3,12,135,93,0
"California","San Joaquin",2022,182,123,56,3,0,0,0,109,84,43,3,0,114,61,4
"California","San Luis Obispo",2022,181,64,115,2,0,0,0,115,72,55,0,0,80,92,9
"California","San Mateo",2022,244,211,33,0,0,0,0,75,53,35,1,3,167,73,0
"California","Santa Barbara",2022,182,148,34,0,0,0,0,93,56,43,1,0,150,30,1
"California","Santa Clara",2022,244,178,64,2,0,0,0,112,64,42,1,1,165,77,0
"California","Santa Cruz",2022,181,170,11,0,0,0,0,54,47,35,0,0,117,64,0
