,FIRE_YEAR,ICS_COMPLEX_NAME,FIRE_NAME,MEMBER_INC_IDENTIFIER,CPLX_INC_IDENTIFIER,CPLX_INCIDENT_ID,MEMBER_INCIDENT_ID,FODJ_INCIDENT_ID,FOD_FIRE_LIST,MTBS_FIRE_LIST
0,1999,CARMOKE COMPLEX,HIRAM,,,1999_CA-STF-1629_CARMOKE,1999_CA-STF-1629_CARMOKE,1999_CA-STF-1629_CARMOKE,"[{'ID': 115129, 'MTBS_ID': 'CA3844211991219990810(HIRAM)', 'COORDS': (38.45027778, -119.88333329999999), 'CAUSE': 'Natural', 'SIZE': 2843.0, 'DISC': 222, 'CONT': 335.0}, {'ID': 115130, 'COORDS': (38.54222222, -119.91722220000001), 'CAUSE': 'Natural', 'SIZE': 326.0, 'DISC': 218, 'CONT': 284.0}, {'ID': 115133, 'COORDS': (38.44416667, -119.8925), 'CAUSE': 'Natural', 'SIZE': 33.0, 'DISC': 234, 'CONT': 236.0}, {'ID': 115156, 'COORDS': (38.35027778, -119.76777779999999), 'CAUSE': 'Natural', 'SIZE': 0.3, 'DISC': 222, 'CONT': 245.0}, {'ID': 115166, 'COORDS': (38.46472222, -119.79055559999999), 'CAUSE': 'Natural', 'SIZE': 0.1, 'DISC': 235, 'CONT': 245.0}]",['CA3844211991219990810-HIRAM']
1,1999,CARMOKE COMPLEX,DEER,,,1999_CA-STF-1629_CARMOKE,1999_CA-STF-1629_CARMOKE,1999_CA-STF-1629_CARMOKE,"[{'ID': 115129, 'MTBS_ID': 'CA3844211991219990810(HIRAM)', 'COORDS': (38.45027778, -119.88333329999999), 'CAUSE': 'Natural', 'SIZE': 2843.0, 'DISC': 222, 'CONT': 335.0}, {'ID': 115130, 'COORDS': (38.54222222, -119.91722220000001), 'CAUSE': 'Natural', 'SIZE': 326.0, 'DISC': 218, 'CONT': 284.0}, {'ID': 115133, 'COORDS': (38.44416667, -119.8925), 'CAUSE': 'Natural', 'SIZE': 33.0, 'DISC': 234, 'CONT': 236.0}, {'ID': 115156, 'COORDS': (38.35027778, -119.76777779999999), 'CAUSE': 'Natural', 'SIZE': 0.3, 'DISC': 222, 'CONT': 245.0}, {'ID': 115166, 'COORDS': (38.46472222, -119.79055559999999), 'CAUSE': 'Natural', 'SIZE': 0.1, 'DISC': 235, 'CONT': 245.0}]",['CA3844211991219990810-HIRAM']
2,1999,CARMOKE COMPLEX,RUN #2,,,1999_CA-STF-1629_CARMOKE,1999_CA-STF-1629_CARMOKE,1999_CA-STF-1629_CARMOKE,"[{'ID': 115129, 'MTBS_ID': 'CA3844211991219990810(HIRAM)', 'COORDS': (38.45027778, -119.88333329999999), 'CAUSE': 'Natural', 'SIZE': 2843.0, 'DISC': 222, 'CONT': 335.0}, {'ID': 115130, 'COORDS': (38.54222222, -119.91722220000001), 'CAUSE': 'Natural', 'SIZE': 326.0, 'DISC': 218, 'CONT': 284.0}, {'ID': 115133, 'COORDS': (38.44416667, -119.8925), 'CAUSE': 'Natural', 'SIZE': 33.0, 'DISC': 234, 'CONT': 236.0}, {'ID': 115156, 'COORDS': (38.35027778, -119.76777779999999), 'CAUSE': 'Natural', 'SIZE': 0.3, 'DISC': 222, 'CONT': 245.0}, {'ID': 115166, 'COORDS': (38.46472222, -119.79055559999999), 'CAUSE': 'Natural', 'SIZE': 0.1, 'DISC': 235, 'CONT': 245.0}]",['CA3844211991219990810-HIRAM']
3,1999,CARMOKE COMPLEX,DOUGLAS,,,1999_CA-STF-1629_CARMOKE,1999_CA-STF-1629_CARMOKE,1999_CA-STF-1629_CARMOKE,"[{'ID': 115129, 'MTBS_ID': 'CA3844211991219990810(HIRAM)', 'COORDS': (38.45027778, -119.88333329999999), 'CAUSE': 'Natural', 'SIZE': 2843.0, 'DISC': 222, 'CONT': 335.0}, {'ID': 115130, 'COORDS': (38.54222222, -119.91722220000001), 'CAUSE': 'Natural', 'SIZE': 326.0, 'DISC': 218, 'CONT': 284.0}, {'ID': 115133, 'COORDS': (38.44416667, -119.8925), 'CAUSE': 'Natural', 'SIZE': 33.0, 'DISC': 234, 'CONT': 236.0}, {'ID': 115156, 'COORDS': (38.35027778, -119.76777779999999), 'CAUSE': 'Natural', 'SIZE': 0.3, 'DISC': 222, 'CONT': 245.0}, {'ID': 115166, 'COORDS': (38.46472222, -119.79055559999999), 'CAUSE': 'Natural', 'SIZE': 0.1, 'DISC': 235, 'CONT': 245.0}]",['CA3844211991219990810-HIRAM']
4,1999,CARMOKE COMPLEX,ARNOT,,,1999_CA-STF-1629_CARMOKE,1999_CA-STF-1629_CARMOKE,1999_CA-STF-1629_CARMOKE,"[{'ID': 115129, 'MTBS_ID': 'CA3844211991219990810(HIRAM)', 'COORDS': (38.45027778, -119.88333329999999), 'CAUSE': 'Natural', 'SIZE': 2843.0, 'DISC': 222, 'CONT': 335.0}, {'ID': 115130, 'COORDS': (38.54222222, -119.91722220000001), 'CAUSE': 'Natural', 'SIZE': 326.0, 'DISC': 218, 'CONT': 284.0}, {'ID': 115133, 'COORDS': (38.44416667, -119.8925), 'CAUSE': 'Natural', 'SIZE': 33.0, 'DISC': 234, 'CONT': 236.0}, {'ID': 115156, 'COORDS': (38.35027778, -119.76777779999999), 'CAUSE': 'Natural', 'SIZE': 0.3, 'DISC': 222, 'CONT': 245.0}, {'ID': 115166, 'COORDS': (38.46472222, -119.79055559999999), 'CAUSE': 'Natural', 'SIZE': 0.1, 'DISC': 235, 'CONT': 245.0}]",['CA3844211991219990810-HIRAM']
5,1999,FLOYD'S COMPLEX,RAMEY,,,1999_ID-PAF-_FLOYD'S COMPLEX,1999_ID-PAF-_FLOYD'S COMPLEX,1999_ID-PAF-_FLOYD'S COMPLEX,"[{'ID': 115791, 'COORDS': (45.18666667, -115.24), 'CAUSE': 'Natural', 'SIZE': 536.0, 'DISC': 201, 'CONT': 321.0}, {'ID': 115795, 'MTBS_ID': 'ID4518811520219990802(FLOYDS COMPLEX (COPPER CAMP))', 'COORDS': (45.18666667, -115.17833329999999), 'CAUSE': 'Natural', 'SIZE': 1239.0, 'DISC': 214, 'CONT': 321.0}, {'ID': 115797, 'MTBS_ID': 'ID4537911512519990802(LODGEPOLE)', 'COORDS': (45.35222222, -115.13333329999999), 'CAUSE': 'Natural', 'SIZE': 4233.0, 'DISC': 214, 'CONT': 321.0}, {'ID': 115806, 'COORDS': (45.27666667, -115.215), 'CAUSE': 'Natural', 'SIZE': 80.0, 'DISC': 221, 'CONT': 321.0}, {'ID': 115807, 'MTBS_ID': 'ID4525511512919990812(FLOYDS COMPLEX (LITTLE RAMEY))', 'COORDS': (45.24666667, -115.13333329999999), 'CAUSE': 'Natural', 'SIZE': 3863.0, 'DISC': 224, 'CONT': 321.0}]","['ID4518811520219990802-FLOYDS COMPLEX (COPPER CAMP)', 'ID4537911512519990802-LODGEPOLE', 'ID4525511512919990812-FLOYDS COMPLEX (LITTLE RAMEY)']"
6,1999,FLOYD'S COMPLEX,COPPER CAMP,,,1999_ID-PAF-_FLOYD'S COMPLEX,1999_ID-PAF-_FLOYD'S COMPLEX,1999_ID-PAF-_FLOYD'S COMPLEX,"[{'ID': 115791, 'COORDS': (45.18666667, -115.24), 'CAUSE': 'Natural', 'SIZE': 536.0, 'DISC': 201, 'CONT': 321.0}, {'ID': 115795, 'MTBS_ID': 'ID4518811520219990802(FLOYDS COMPLEX (COPPER CAMP))', 'COORDS': (45.18666667, -115.17833329999999), 'CAUSE': 'Natural', 'SIZE': 1239.0, 'DISC': 214, 'CONT': 321.0}, {'ID': 115797, 'MTBS_ID': 'ID4537911512519990802(LODGEPOLE)', 'COORDS': (45.35222222, -115.13333329999999), 'CAUSE': 'Natural', 'SIZE': 4233.0, 'DISC': 214, 'CONT': 321.0}, {'ID': 115806, 'COORDS': (45.27666667, -115.215), 'CAUSE': 'Natural', 'SIZE': 80.0, 'DISC': 221, 'CONT': 321.0}, {'ID': 115807, 'MTBS_ID': 'ID4525511512919990812(FLOYDS COMPLEX (LITTLE RAMEY))', 'COORDS': (45.24666667, -115.13333329999999), 'CAUSE': 'Natural', 'SIZE': 3863.0, 'DISC': 224, 'CONT': 321.0}]","['ID4518811520219990802-FLOYDS COMPLEX (COPPER CAMP)', 'ID4537911512519990802-LODGEPOLE', 'ID4525511512919990812-FLOYDS COMPLEX (LITTLE RAMEY)']"
7,1999,FLOYD'S COMPLEX,LODGEPOLE,,,1999_ID-PAF-_FLOYD'S COMPLEX,1999_ID-PAF-_FLOYD'S COMPLEX,1999_ID-PAF-_FLOYD'S COMPLEX,"[{'ID': 115791, 'COORDS': (45.18666667, -115.24), 'CAUSE': 'Natural', 'SIZE': 536.0, 'DISC': 201, 'CONT': 321.0}, {'ID': 115795, 'MTBS_ID': 'ID4518811520219990802(FLOYDS COMPLEX (COPPER CAMP))', 'COORDS': (45.18666667, -115.17833329999999), 'CAUSE': 'Natural', 'SIZE': 1239.0, 'DISC': 214, 'CONT': 321.0}, {'ID': 115797, 'MTBS_ID': 'ID4537911512519990802(LODGEPOLE)', 'COORDS': (45.35222222, -115.13333329999999), 'CAUSE': 'Natural', 'SIZE': 4233.0, 'DISC': 214, 'CONT': 321.0}, {'ID': 115806, 'COORDS': (45.27666667, -115.215), 'CAUSE': 'Natural', 'SIZE': 80.0, 'DISC': 221, 'CONT': 321.0}, {'ID': 115807, 'MTBS_ID': 'ID4525511512919990812(FLOYDS COMPLEX (LITTLE RAMEY))', 'COORDS': (45.24666667, -115.13333329999999), 'CAUSE': 'Natural', 'SIZE': 3863.0, 'DISC': 224, 'CONT': 321.0}]","['ID4518811520219990802-FLOYDS COMPLEX (COPPER CAMP)', 'ID4537911512519990802-LODGEPOLE', 'ID4525511512919990812-FLOYDS COMPLEX (LITTLE RAMEY)']"
8,1999,FLOYD'S COMPLEX,BIG RAMEY,,,1999_ID-PAF-_FLOYD'S COMPLEX,1999_ID-PAF-_FLOYD'S COMPLEX,1999_ID-PAF-_FLOYD'S COMPLEX,"[{'ID': 115791, 'COORDS': (45.18666667, -115.24), 'CAUSE': 'Natural', 'SIZE': 536.0, 'DISC': 201, 'CONT': 321.0}, {'ID': 115795, 'MTBS_ID': 'ID4518811520219990802(FLOYDS COMPLEX (COPPER CAMP))', 'COORDS': (45.18666667, -115.17833329999999), 'CAUSE': 'Natural', 'SIZE': 1239.0, 'DISC': 214, 'CONT': 321.0}, {'ID': 115797, 'MTBS_ID': 'ID4537911512519990802(LODGEPOLE)', 'COORDS': (45.35222222, -115.13333329999999), 'CAUSE': 'Natural', 'SIZE': 4233.0, 'DISC': 214, 'CONT': 321.0}, {'ID': 115806, 'COORDS': (45.27666667, -115.215), 'CAUSE': 'Natural', 'SIZE': 80.0, 'DISC': 221, 'CONT': 321.0}, {'ID': 115807, 'MTBS_ID': 'ID4525511512919990812(FLOYDS COMPLEX (LITTLE RAMEY))', 'COORDS': (45.24666667, -115.13333329999999), 'CAUSE': 'Natural', 'SIZE': 3863.0, 'DISC': 224, 'CONT': 321.0}]","['ID4518811520219990802-FLOYDS COMPLEX (COPPER CAMP)', 'ID4537911512519990802-LODGEPOLE', 'ID4525511512919990812-FLOYDS COMPLEX (LITTLE RAMEY)']"
9,1999,FLOYD'S COMPLEX,LITTLE RAMEY,,,1999_ID-PAF-_FLOYD'S COMPLEX,1999_ID-PAF-_FLOYD'S COMPLEX,1999_ID-PAF-_FLOYD'S COMPLEX,"[{'ID': 115791, 'COORDS': (45.18666667, -115.24), 'CAUSE': 'Natural', 'SIZE': 536.0, 'DISC': 201, 'CONT': 321.0}, {'ID': 115795, 'MTBS_ID': 'ID4518811520219990802(FLOYDS COMPLEX (COPPER CAMP))', 'COORDS': (45.18666667, -115.17833329999999), 'CAUSE': 'Natural', 'SIZE': 1239.0, 'DISC': 214, 'CONT': 321.0}, {'ID': 115797, 'MTBS_ID': 'ID4537911512519990802(LODGEPOLE)', 'COORDS': (45.35222222, -115.13333329999999), 'CAUSE': 'Natural', 'SIZE': 4233.0, 'DISC': 214, 'CONT': 321.0}, {'ID': 115806, 'COORDS': (45.27666667, -115.215), 'CAUSE': 'Natural', 'SIZE': 80.0, 'DISC': 221, 'CONT': 321.0}, {'ID': 115807, 'MTBS_ID': 'ID4525511512919990812(FLOYDS COMPLEX (LITTLE RAMEY))', 'COORDS': (45.24666667, -115.13333329999999), 'CAUSE': 'Natural', 'SIZE': 3863.0, 'DISC': 224, 'CONT': 321.0}]","['ID4518811520219990802-FLOYDS COMPLEX (COPPER CAMP)', 'ID4537911512519990802-LODGEPOLE', 'ID4525511512919990812-FLOYDS COMPLEX (LITTLE RAMEY)']"
