GEOID,STATE_ABBREV,COUNTY_NAME,INCIDENT_ID,QUARTER,YEAR,SPATIAL_DATA_ORIGIN
53025,WA,Grant County,2014_662675_SADDLE MOUNTAIN,3,2014,MTBS
35003,NM,Catron County,1999_NM-LCD-_COYOTE,1,1999,MTBS
12009,FL,Brevard County,1999_FL-MIR-99002_SCRUB J3.2,1,1999,MTBS
4003,AZ,Cochise County,1999_AZ-SAD-C646_HEREFORD,1,1999,MTBS
6027,CA,Inyo County,1999_CA-INF-110_DIVISION,1,1999,MTBS
45015,SC,Berkeley County,1999_SC-FMF-153_BRICK CHURCH,1,1999,MTBS
45015,SC,Berkeley County,1999_SC-FMF-153_BRICK CHURCH,2,1999,MTBS
21197,KY,Powell County,1999_KY-DBF-_SOUTH FORK,2,1999,MTBS
13049,GA,Charlton County,1999_GA-OKR-99001_HICKORY ISLAND,2,1999,MTBS
12129,FL,Wakulla County,1999_FL-FNF-99012_APALACHICOLA COMPLEX,2,1999,MTBS
51153,VA,Prince William County,1999_VA-PWP-04_NCO FIRE,2,1999,MTBS
12003,FL,Baker County,1999_FL-FNF-99016_CYPRESS CREEK,2,1999,MTBS
21147,KY,McCreary County,1999_KY-DBF-99231_PIGSKIN,2,1999,MTBS
51003,VA,Albemarle County,1999_VA-SHP-9918_SHOP RUN,2,1999,MTBS
51015,VA,Augusta County,1999_VA-SHP-9918_SHOP RUN,2,1999,MTBS
27069,MN,Kittson County,1999_MN-MNS-17_ST. JOE #1,2,1999,MTBS
26103,MI,Marquette County,1999_MI-MIS-001_TOWER LAKE,2,1999,MTBS
35023,NM,Hidalgo County,1999_NM-N3S-_GARCIA,2,1999,MTBS
35003,NM,Catron County,1999_NM-N3S-_IRON,2,1999,MTBS
35051,NM,Sierra County,1999_NM-N3S-_IRON,2,1999,MTBS
35053,NM,Socorro County,1999_NM-N3S-_IRON,2,1999,MTBS
35035,NM,Otero County,1999_NM-MEA-006_TELEPHONE,2,1999,MTBS
12003,FL,Baker County,1999_FL-FNF-99029_FRIENDLY #2,2,1999,MTBS
12023,FL,Columbia County,1999_FL-FNF-99029_FRIENDLY #2,2,1999,MTBS
13065,GA,Clinch County,1999_FL-FNF-99029_FRIENDLY #2,2,1999,MTBS
13299,GA,Ware County,1999_FL-FNF-99029_FRIENDLY #2,2,1999,MTBS
12003,FL,Baker County,1999_GA-OKR-99005_OKR FRIENDLY FIRE,2,1999,MTBS
12023,FL,Columbia County,1999_GA-OKR-99005_OKR FRIENDLY FIRE,2,1999,MTBS
13065,GA,Clinch County,1999_GA-OKR-99005_OKR FRIENDLY FIRE,2,1999,MTBS
13299,GA,Ware County,1999_GA-OKR-99005_OKR FRIENDLY FIRE,2,1999,MTBS
6049,CA,Modoc County,1999_CA-MDF-0146_BELL WEST,2,1999,MTBS
6093,CA,Siskiyou County,1999_CA-MDF-0146_BELL WEST,2,1999,MTBS
