,ADDNTL_FUEL_MODEL_IDENTIFIER,ANTICIPATED_COMPLETION_DATE,APPROVED_BY,APPROVED_DATE,AREA_CLOSURE_FLAG,CAUSE_IDENTIFIER,COMPLEXITY_LEVEL_IDENTIFIER,COMPLEXITY_LEVEL_NARR,CREATED_BY,CREATED_DATE,CRIT_RES_NEEDS_12,CRIT_RES_NEEDS_24,CRIT_RES_NEEDS_48,CRIT_RES_NEEDS_72,CRIT_RES_NEEDS_GT72,CURRENT_THREAT_12,CURRENT_THREAT_24,CURRENT_THREAT_48,CURRENT_THREAT_72,CURRENT_THREAT_GT72,CURR_INCIDENT_AREA,CURR_INC_AREA_UOM_IDENTIFIER,CY,DATA_ENTRY_STATUS,DISCOVERY_DATE,DISPATCH_PRIORITY,DONWCGU_PROT_UNIT_IDENTIFIER,EST_IM_COST_TO_DATE,EXPECTED_CONTAINMENT_DATE,FIRE_BEHAVIOR_1_IDENTIFIER,FIRE_BEHAVIOR_2_IDENTIFIER,FIRE_BEHAVIOR_3_IDENTIFIER,FUEL_MODEL_IDENTIFIER,GACC_PRIORITY,GEN_FIRE_BEHAVIOR_IDENTIFIER,HAZARDS_MATLS_INVOLVMENT_NARR,ID,INC209R_IDENTIFIER,INCIDENT_COMMANDERS_NARR,INCIDENT_DESCRIPTION,INCIDENT_JURISDICTION,INCIDENT_NAME,INCIDENT_NUMBER,INCTYP_IDENTIFIER,INC_IDENTIFIER,INC_MGMT_ORG_IDENTIFIER,LAST_MODIFIED_BY,LAST_MODIFIED_DATE,LIFE_SAFETY_HEALTH_STATUS_NARR,LOCAL_TIMEZONE_IDENTIFIER,MANAGEMENT_CODE,PCT_CONTAINED_COMPLETED,PCT_CONT_COMPL_UOM_IDENTIFIER,PCT_PERIM_TO_BE_CONTAINED,PLANNED_ACTIONS,POO_CITY,POO_COUNTY_CODE,POO_DONWCGU_OWN_IDENTIFIER,POO_LATITUDE,POO_LD_PM_IDENTIFIER,POO_LD_QTR_QTR_QTR_QTR_SEC,POO_LD_QTR_QTR_QTR_SEC,POO_LD_QTR_QTR_SEC,POO_LD_QTR_SEC,POO_LD_RGE,POO_LD_SEC,POO_LD_TWP,POO_LONGITUDE,POO_SHORT_LOCATION_DESC,POO_STATE_CODE,POO_US_NGR_XCOORD,POO_US_NGR_YCOORD,POO_US_NGR_ZONE,POO_UTM_EASTING,POO_UTM_NORTHING,POO_UTM_ZONE,PREPARED_BY,PREPARED_DATE,PROJECTED_ACTIVITY_12,PROJECTED_ACTIVITY_24,PROJECTED_ACTIVITY_48,PROJECTED_ACTIVITY_72,PROJECTED_ACTIVITY_GT72,PROJECTED_FINAL_IM_COST,PROJ_INCIDENT_AREA,PROJ_INC_AREA_UOM_IDENTIFIER,PROJ_SIG_RES_DEMOB_START_DATE,REMARKS,REPORT_FROM_DATE,REPORT_NUMBER,REPORT_TO_DATE,ROAD_CLOSURE_FLAG,SECNDRY_FUEL_MODEL_IDENTIFIER,SIGNIF_EVENTS_SUMMARY,SINGLE_COMPLEX_FLAG,STATUS,STRATEGIC_DISCUSSION,STRATEGIC_OBJECTIVES,SUBMITTED_DATE,SUBMITTED_TO,TRAIL_CLOSURE_FLAG,UNIFIED_COMMAND_FLAG,UNIT_OR_OTHER_NARR,WEATHER_CONCERNS_NARR
94,,,,,,87.0,,4,SIT209,2014-01-27 16:29:02,,,,,,,,,,,143.0,20928.0,,D,2014-01-23 17:00:00,,226076,,,,,,,,,,,258889,D. Price - ODF G. Novak - Industry,,,Alder Creek,14OR-711S-030914,9851.0,258888,178.0,SIT209,2014-01-27 16:29:02,,,,100.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-01-23 17:00:00,,2014-01-27 19:00:00,,,,S,F,,,,,,,,
229,,2014-02-26 12:00:00,David Comingdeer ICT4,2014-02-27 11:36:53,,87.0,,,SIT209,2014-02-27 11:13:15,Hand Crew and Helicopter,,,,,None,,,,,325.0,20928.0,,A,2014-02-25 16:30:00,,8125,12000.0,,,,,10808.0,,,,,287819,David Comingdeer,,,SONNY GILE CREEK,039,9851.0,287818,178.0,SIT209,2014-02-27 11:36:53,Very active fire behavior,,H11F,60.0,,40.0,Improve Line and continue to mop-up and patrol.,,1.0,8125.0,35.646944399999995,,,,,,,,,-94.6405556,"37 miles East of Musgokee, OK",40.0,,,,,,,Elmer O. BIA/AOICC,2014-02-26 16:00:00,10 acres,,,,,20000.0,325.0,20928.0,2014-02-25 12:00:00,,2014-02-25 16:30:00,,2014-02-26 17:00:00,,,Short runs  Creeping and Smoldering,S,I,,Continue line construction,2014-02-27 11:36:53,SACC,,,,NE winds at 11 mph sustained w/ Gust at 24 mph  Temps in the 50's and low RH
230,,2014-02-26 12:00:00,Scott Swendsen / AOICC Center Manager,2014-03-03 15:34:33,,87.0,,,SIT209,2014-03-03 15:32:36,Hand Crew and Helicopter,,,,,None,,,,,325.0,20928.0,,A,2014-02-25 16:30:00,,8125,0.0,,,,,10808.0,,,,,291912,David Comingdeer,,,SONNY GILE CREEK - DUPLICATE do not use,039,9851.0,287818,178.0,SIT209,2014-03-03 15:34:33,Very active fire behavior,,H11F,100.0,,0.0,Improve Line and continue to mop-up and patrol.,,1.0,8125.0,35.646944399999995,,,,,,,,,-94.6405556,"37 miles East of Musgokee, OK",40.0,,,,,,,Scott Swendsen / AOICC Center Manager,2014-03-03 15:30:00,10 acres,,,,,20000.0,325.0,20928.0,2014-02-25 12:00:00,,2014-02-25 22:00:00,,2014-02-26 22:00:00,,,Short runs  Creeping and Smoldering,S,U,,Continue line construction,2014-03-03 15:34:33,SACC,,,,NE winds at 11 mph sustained w/ Gust at 24 mph  Temps in the 50's and low RH
231,,2014-02-26 12:00:00,Scott Swendsen / AOICC Center Manager,2014-03-03 15:38:02,,87.0,,,SIT209,2014-03-03 15:35:23,,,,,,None,,,,,325.0,20928.0,,A,2014-02-25 16:30:00,,8125,0.0,,,,,10808.0,,,,,291933,David Comingdeer,,,SONNY GILE CREEK - DUPLICATE do not use,039,9851.0,287818,,SIT209,2014-03-03 15:38:02,,,H11F,100.0,,0.0,,,1.0,8125.0,35.646944399999995,,,,,,,,,-94.6405556,"37 miles East of Musgokee, OK",40.0,,,,,,,Scott Swendsen / AOICC Center Manager,2014-03-03 15:30:00,None,,,,,20000.0,,,2014-02-25 12:00:00,,2014-02-26 22:00:00,,2014-03-03 15:30:00,,,Short runs  Creeping and Smoldering,S,F,,,2014-03-03 15:38:02,SACC,,,,
1575,,2014-06-15 12:00:00,CRAIG CRENSHAW,2014-06-15 13:42:49,,88.0,,TYPE 4,fws0014,2014-06-15 13:27:03,,,,,,None.,,,,,1300.0,20928.0,,A,2014-06-13 07:30:00,,8757,40000.0,,,,,10800.0,,,,,503093,C CRENSHAW,,,WF DIPPING VATS 2014,00H5XY,9851.0,503092,178.0,SIT209,2014-06-15 13:42:49,,,H5XY,100.0,,100.0,,SABINE PASS,245.0,8757.0,26.5883333,,,,,,,,,-94.4413889,"8 MILES WEST OF SABINE PASS, TEXAS",48.0,,,,,,,MARIA VIELMA,2014-06-15 13:30:00,Fires out  demobing of resources.,,,,,40000.0,,,2014-06-15 12:00:00,Initital 209 had incorrect Unit Identifier of TX-AHR.  Correct Unit Identifier for 209 for WF Dippiing Vats 2014 is TX-MCR.,2014-06-15 07:30:00,,2014-06-15 13:30:00,,,No significant smokes after burn out operations that were done yesterday.,S,F,,,2014-06-15 13:42:49,"SACC BY LETY HANDY, TICC 6-15-14 1342",,,,None.
1664,,2014-06-24 14:00:00,Deputy Chief Greg Fish,,,90.0,,,DWISE001,2014-06-24 14:32:37,None.,None.,,,,,,,,,150.0,20928.0,,D,2014-06-22 12:30:00,,9099,,,,,,10804.0,,,,,534057,,,,BRAND,038084,9851.0,533486,181.0,SIT209,2014-06-24 14:32:37,Minor injuries to two firefighters from rolling boulders; treated and released,,,34.0,,66.0,100% Containment within next 24 hours.,Glendale,37.0,9099.0,34.1825,,,,,,,,,-118.2763889,,6.0,,,,,,,Exec. Admin. Don WIse,2014-06-23 13:30:00,Small potential for spread.,Small potential for spread.,,,100% Containment,,175.0,20928.0,2014-06-24 14:00:00,,2014-06-22 14:30:00,,2014-06-23 03:00:00,,,Active fire,S,U,Mop - up mode 150 feet into perimeter area,100% Containment within next 24 hours.,,"Glendale Fire, City of Glendale",,,,Windspeed = 10 mph / Windgusts = 17 mph / Visibility = 10 mi. / Overall Weather Outlook = Fair / Sky = Clear / Temperature = 77 deg. / Dewpoint = 56 / Relative Humidity = 48% /
3431,,,,,,,,,iahirsch,2014-07-29 14:35:08,,,,,,,,,,,,,,D,2014-07-28 02:00:00,,484038,,,,,,,,,,,720751,To complete,,,REEVES CREEK,014915,9851.0,720750,,iahirsch,2014-07-29 14:35:08,,,,0.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-07-28 02:00:00,,2014-07-29 23:00:00,,,,S,I,,,,,,,,
6193,,,,,N,1536117.0,,4,SIT209,01/27/2014 16:29:02,,,,,,,,,,,143.0,1536109.0,2015.0,D,01/23/2014 17:00:00,,1527346,,,,,,,,,,9.0,2714130,D. Price - ODF G. Novak - Industry,,,Alder Creek,14OR-711S-030914,1536179.0,2714129,1536138.0,SIT209,01/27/2014 16:29:02,,,,100.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/23/2014 17:00:00,,2014-01-27 19:00:00,N,,,S,F,,,,,N,N,,
6253,,,EOR-DO,02/02/2015 14:19:01,N,1536117.0,,,Eoroscosr,02/02/2015 14:11:24,,,,,,None,,,,,130.0,1536109.0,2015.0,A,01/29/2015 8:45:00,,1525558,1450.0,,,,,1535989.0,,,,69.0,2717233,Winkler,,,POLECAT CREEK,015020,1536179.0,2717232,1536138.0,SIT209,02/04/2015 10:42:30,,,JH45,100.0,,0.0,,,135.0,1525558.0,35.5533333,,,,,,,,,-94.5947222,"2 Miles NW of Belfonte, OK",40.0,,,,,,,Orosco - BIA/AOICC,02/02/2015 14:00:00,None,,,,,,,,,,01/29/2015 9:00:00,,2015-01-31 13:00:00,N,,No activity,S,F,,,02/02/2015 14:19:01,SACC,N,N,,
6254,,,EOR-DO,02/03/2015 11:21:00,N,1536117.0,,,Eoroscosr,02/03/2015 11:18:39,,,,,,None,,,,,130.0,1536109.0,2015.0,A,01/29/2015 8:45:00,,1525558,1450.0,,,,,1535989.0,,,,70.0,2717241,Winkler,,,POLECAT CREEK,015020,1536179.0,2717232,1536138.0,SIT209,02/04/2015 10:42:30,,,JH45,100.0,,0.0,,,135.0,1525558.0,35.5533333,,,,,,,,,-94.5947222,"2 Miles NW of Belfonte, OK",40.0,,,,,,,Orosco - BIA/AOICC,02/03/2015 11:00:00,None,,,,,,,,,,02/02/2015 14:00:00,,2015-02-03 11:00:00,N,,No activity,S,F,,,02/03/2015 11:21:00,SACC,N,N,,
