STABR,FSCSKEY,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,ADDRES_M,CITY_M,ZIP_M,ZIP4_M,CNTY,PHONE,C_RELATN,C_LEGBAS,C_ADMIN,C_FSCS,GEOCODE,LSABOUND,STARTDAT,ENDDATE,POPU_LSA,F_POPLSA,POPU_UND,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO_PH,F_AUD_PH,AUDIO_DL,F_AUD_DL,VIDEO_PH,F_VID_PH,VIDEO_DL,F_VID_DL,EC_LO_OT,F_EC_L_O,EC_ST,F_EC_ST,ELECCOLL,F_ELECOL,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,VISITRPT,REFERENC,F_REFER,REFERRPT,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,ELMATCIR,F_EMTCIR,PHYSCIR,F_PHYSCR,ELINFO,F_ELINFO,ELCONT,F_ELCONT,TOTCOLL,F_TOTCOL,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,WIFISESS,F_WIFISS,WEBVISIT,YR_SUB,OBEREG,RSTATUS,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,INCITSST,INCITSCO,GNISPLAC,CNTYPOP,LOCALE_ADD,LOCALE_MOD,CENTRACT,CENBLOCK,CDCODE,CBSA,MICROF,GEOSTATUS,GEOSCORE,GEOMTYPE,C19CLOSE,C19PUBSV,C19ELMAT,C19ECRD1,C19ECRD2,C19REFER,C19OUTSD,C19LIVEP,C19RECDP,C19XWIF1,C19XWIF2,C19XWIF3,C19STOTH
AK,AK0001,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,34020 NORTH FORK ROAD,ANCHOR POINT,99556,9150,P.O. BOX 129,ANCHOR POINT,99556,0129,KENAI PENINSULA,9072355692,NO,NP,SO,Y,CI1,N,07/01/2019,06/30/2020,2090,R_20,2090,1,R_20,0,R_20,0,R_20,0,R_20,0.68,R_20,0,R_20,0.68,R_20,0,R_20,12160,R_20,0,R_20,45791,R_20,57951,R_20,-9,H_20,-9,H_20,-9,H_20,3380,R_20,0,R_20,680,R_20,4060,R_20,-9,H_20,55082,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,19179,R_20,0,R_20,183,R_20,0,R_20,3602,R_20,0,R_20,0,R_20,49,R_20,49,R_20,1404,R_20,4292,R_20,CT,89,R_20,ES,1854,R_20,7502,R_20,1117,R_20,0,R_20,7502,R_20,1648,R_20,1648,R_20,9150,R_20,0,R_20,16,R_20,35,R_20,34,R_20,0,R_20,468,R_20,460,R_20,0,R_20,5,R_20,1259,R_20,1186,R_20,-1,2021,08,1,00,00,00,-151.8315926,59.77966731,02,122,03110,59414,43,43,8,3027,0200,-4,N,E,100,POINTADDRESS,Y,Y,N,N,N,Y,Y,N,N,Y,Y,Y,N
AK,AK0002,AK0002-011,ANCHORAGE PUBLIC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,6055,3600 DENALI STREET,ANCHORAGE,99503,6055,ANCHORAGE,9073432892,NO,CO,MO,Y,MA1,N,01/01/2019,12/31/2019,291845,R_20,291845,1,R_20,4,R_20,0,R_20,25,R_20,31,R_20,43.85,R_20,74.85,R_20,14370962,R_20,35000,R_20,176204,R_20,435260,R_20,15017426,R_20,3921450,R_20,3313698,R_20,7235148,R_20,531410,R_20,355681,R_20,176077,R_20,1063168,R_20,3725859,R_20,12024175,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,305609,R_20,31346,R_20,25562,R_20,16981,R_20,57929,R_20,20,R_20,14,R_20,49,R_20,63,R_20,10659,R_20,712885,R_20,CT,39512,R_20,ES,111468,R_20,1498017,R_20,562427,R_20,364023,R_20,1133994,R_20,375381,R_20,739404,R_20,1873398,R_20,518,R_20,1107,R_20,1962,R_20,1336,R_20,244,R_20,64954,R_20,48527,R_20,2187,R_20,161,R_20,103131,R_20,114051,R_20,1634089,2021,08,1,00,00,00,-149.8764562,61.1870715,02,020,03000,287095,11,11,19,4016,0200,11260,0,E,100,POINTADDRESS,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y
AK,AK0003,AK0003-002,ANDERSON COMMUNITY LIBRARY,101 FIRST STREET,ANDERSON,99744,M,P.O. BOX 3078,ANDERSON,99744,3078,DENALI,9075822628,NO,CI,SO,Y,CI1,N,07/01/2019,06/30/2020,282,R_20,282,1,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0.25,R_20,0.25,R_20,5000,R_20,7000,R_20,0,R_20,975,R_20,12975,R_20,-9,H_20,-9,H_20,-9,H_20,2290,R_20,220,R_20,1478,R_20,3988,R_20,-9,H_20,12360,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,15419,R_20,0,R_20,267,R_20,0,R_20,1371,R_20,0,R_20,0,R_20,49,R_20,49,R_20,400,R_20,595,R_20,CT,289,R_20,CT,137,R_20,1205,R_20,0,R_20,0,R_20,1205,R_20,222,R_20,222,R_20,1427,R_20,0,R_20,0,R_20,12,R_20,10,R_20,1,R_20,50,R_20,28,R_20,11,R_20,5,R_20,289,R_20,75,R_20,-4,2021,08,1,00,00,00,-149.1744083,64.34374942,02,068,03220,2081,43,43,1,1011,0200,-4,N,E,99.62,STREETADDRESS,Y,Y,N,N,N,N,N,N,N,Y,N,Y,N
AK,AK0006,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,420 CHIEF EDDIE HOFFMAN HIGHWAY,BETHEL,99559,M,P.O. BOX 368,BETHEL,99559,0368,BETHEL,9075434516,NO,MJ,SO,Y,CI1,N,07/01/2019,06/30/2020,6259,R_20,6259,1,R_20,0,R_20,0,R_20,1,R_20,2,R_20,3,R_20,5,R_20,67600,R_20,14654,R_20,9700,R_20,33000,R_20,124954,R_20,120261,R_20,52539,R_20,172800,R_20,10418,R_20,5044,R_20,1952,R_20,17414,R_20,8699,R_20,198913,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,35817,R_20,21695,R_20,457,R_20,13793,R_20,4357,R_20,0,R_20,0,R_20,49,R_20,49,R_20,1600,R_20,28000,R_20,CT,1393,R_20,CT,3058,R_20,9214,R_20,1969,R_20,1202,R_20,8012,R_20,4936,R_20,6138,R_20,14150,R_20,12,R_20,4,R_20,218,R_20,129,R_20,27,R_20,2912,R_20,2584,R_20,215,IP19,8,R_20,4300,R_20,7102,ID20,-1,2021,08,2,00,00,00,-161.7736923,60.79058917,02,050,06520,18437,33,33,2,2018,0200,-4,N,E,93.91,STREETNAME,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y
AK,AK0007,AK0007-002,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,9663,P.O. BOX 520829,BIG LAKE,99652,0829,MATANUSKA-SUSITNA,9078617636,NO,CO,SO,Y,CO1,N,07/01/2019,06/30/2020,7688,R_20,7688,1,R_20,0,R_20,0,R_20,1,R_20,1,R_20,5,R_20,6,R_20,370819,R_20,8250,R_20,0,R_20,1500,R_20,380569,R_20,192227,R_20,101346,R_20,293573,R_20,25000,R_20,0,R_20,4000,R_20,29000,R_20,62215,R_20,384788,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,30077,R_20,21695,R_20,2304,R_20,13793,R_20,3408,R_20,0,R_20,0,R_20,49,R_20,49,R_20,2193,R_20,34816,R_20,CT,421,R_20,CT,1908,R_20,18063,R_20,6755,R_20,4480,R_20,13583,R_20,6063,R_20,10543,R_20,24126,R_20,52,R_20,45,R_20,250,R_20,113,R_20,9,R_20,3186,R_20,1490,R_20,564,R_20,7,R_20,5673,R_20,2781,R_20,-1,2021,08,1,00,00,00,-149.8186701,61.54772359,02,170,07070,110213,42,42,5.02,1009,0200,11260,0,E,99.58,POINTADDRESS,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y
AK,AK0008,AK0008-002,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,M,P.O. BOX 68,CANTWELL,99729,0068,DENALI,9077682372,NO,NP,SO,Y,CI1,N,07/01/2019,06/30/2020,190,R_20,190,1,R_20,0,R_20,0,R_20,0,R_20,2,R_20,0,R_20,2,R_20,5690,R_20,7000,R_20,6048,R_20,2789,R_20,21527,R_20,-9,H_20,-9,H_20,-9,H_20,3833,R_20,265,R_20,869,R_20,4967,R_20,-9,H_20,18741,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,10450,R_20,21695,R_20,307,R_20,13793,R_20,645,R_20,0,R_20,0,R_20,49,R_20,49,R_20,582,R_20,2000,R_20,ES,300,R_20,ES,157,R_20,2340,R_20,960,R_20,25,R_20,2315,R_20,150,R_20,175,R_20,2490,R_20,8,R_20,15,R_20,28,R_20,15,R_20,7,R_20,452,R_20,70,R_20,157,R_20,1,R_20,25,R_20,95,R_20,-4,2021,08,1,00,00,00,-148.8948017,63.3923707,02,068,10150,2081,43,43,1,2176,0200,-4,N,E,95.86,STREETNAME,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,Y
AK,AK0011,AK0011-002,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615,M,P.O. BOX 5610,CHINIAK,99615,5610,KODIAK ISLAND,9074863022,NO,NP,SO,N,CI1,N,07/01/2019,06/30/2020,45,R_20,45,1,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,12160,R_20,0,R_20,0,R_20,12160,R_20,-9,H_20,-9,H_20,-9,H_20,1383,R_20,857,R_20,1872,R_20,4112,R_20,-9,H_20,7000,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,3800,R_20,120,R_20,30,R_20,0,R_20,600,R_20,0,R_20,0,R_20,49,R_20,49,R_20,60,R_20,90,R_20,ES,0,R_20,ES,44,R_20,423,R_20,212,R_20,35,R_20,388,R_20,35,R_20,70,R_20,458,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,2,R_20,72,R_20,300,R_20,-1,2021,08,1,00,00,00,-152.2335921,57.6122436,02,150,13860,12992,43,43,1,3035,0200,-4,N,E,99.9,STREETADDRESS,Y,Y,Y,N,N,Y,Y,N,N,N,Y,Y,N
AK,AK0014,AK0014-002,COLD BAY PUBLIC LIBRARY,10 BARANOV ROAD,COLD BAY,99571,M,P.O. BOX 87,COLD BAY,99571,0087,ALEUTIANS EAST,9075322878,NO,NP,SO,Y,CI1,N,07/01/2019,06/30/2020,60,R_20,60,1,R_20,0,R_20,0,R_20,0,R_20,0.25,R_20,0,R_20,0.25,R_20,16900,R_20,71896,R_20,0,R_20,0,R_20,88796,R_20,-9,H_20,-9,H_20,-9,H_20,1302,R_20,271,R_20,2088,R_20,3661,R_20,-9,H_20,26753,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,2019,R_20,0,R_20,441,R_20,0,R_20,1586,R_20,0,R_20,0,R_20,49,R_20,49,R_20,320,R_20,626,R_20,ES,0,R_20,CT,75,R_20,925,R_20,140,R_20,0,R_20,925,R_20,47,R_20,47,R_20,972,R_20,0,R_20,0,R_20,19,R_20,10,R_20,0,R_20,170,R_20,70,R_20,0,R_20,2,R_20,115,R_20,595,R_20,-4,2021,08,1,00,00,00,-162.7150695,55.20658544,02,013,16530,3401,43,43,1,1178,0200,-4,N,E,98.25,STREETNAME,Y,N,N,Y,Y,N,Y,Y,N,Y,N,Y,N
AK,AK0015,AK0015-002,COOPER LANDING COMMUNITY LIBRARY,18511 BEAN CREEK ROAD,COOPER LANDING,99572,M,P.O. BOX 517,COOPER LANDING,99572,0517,KENAI PENINSULA,9075951241,NO,NP,SO,N,CI1,N,07/01/2019,06/30/2020,269,R_20,269,1,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,7000,R_20,0,R_20,13481,R_20,20481,R_20,-9,H_20,-9,H_20,-9,H_20,3741,R_20,0,R_20,558,R_20,4299,R_20,-9,H_20,11589,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,3629,R_20,0,R_20,0,R_20,0,R_20,969,R_20,0,R_20,0,R_20,49,R_20,49,R_20,756,R_20,2417,R_20,CT,56,R_20,CT,785,R_20,1340,R_20,425,R_20,0,R_20,1340,R_20,212,R_20,212,R_20,1552,R_20,0,R_20,45,R_20,2,R_20,0,R_20,0,R_20,7,R_20,0,R_20,0,R_20,3,R_20,311,R_20,213,R_20,2126,2021,08,1,00,00,00,-149.8238238,60.49398903,02,122,17190,59414,43,43,3,1133,0200,-4,N,E,100,POINTADDRESS,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N
AK,AK0016,AK0016-002,CORDOVA PUBLIC LIBRARY,601 FIRST STREET,CORDOVA,99574,M,P.O. BOX 1210,CORDOVA,99574,1210,VALDEZ-CORDOVA,9074246667,NO,CI,SO,Y,CI1,N,07/01/2019,06/30/2020,2343,R_20,2343,1,R_20,0,R_20,0,R_20,0,R_20,3,R_20,2,R_20,5,R_20,816355,R_20,7745,R_20,0,R_20,0,R_20,824100,R_20,433202,R_20,209160,R_20,642362,R_20,9805,R_20,1900,R_20,250,R_20,11955,R_20,160327,R_20,814644,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,19204,R_20,21695,R_20,581,R_20,13793,R_20,1431,R_20,0,R_20,0,R_20,49,R_20,49,R_20,1394,R_20,15611,R_20,CT,731,R_20,CT,2746,R_20,11398,R_20,5096,R_20,3053,R_20,8345,R_20,1845,R_20,4898,R_20,13243,R_20,0,R_20,218,R_20,115,R_20,70,R_20,23,R_20,3154,R_20,2457,R_20,513,R_20,6,R_20,3317,R_20,6510,R_20,2671,2021,08,1,00,00,00,-145.7584917,60.54440438,02,063,17410,6427,43,43,2,2010,0200,-4,N,E,93.17,STREETNAME,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N
