STABR,FSCSKEY,FSCS_SEQ,C_FSCS,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,SQ_FEET,F_SQ_FT,L_NUM_BM,HOURS,F_HOURS,WKS_OPEN,F_WKSOPN,YR_SUB,OBEREG,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,INCITSST,INCITSCO,GNISPLAC,CNTYPOP,LOCALE,CENTRACT,CENBLOCK,CDCODE,CBSA,MICROF,GEOSTATUS,GEOSCORE,GEOMTYPE,C19WKSCL,C19WKSLO
AK,AK0001,002,Y,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,34020 NORTH FORK ROAD,ANCHOR POINT,99556,9150,KENAI PENINSULA,9072355692,CE,2880,R_20,0,1404,R_20,43,R_20,2021,08,00,00,00,-151.8315926,59.77966731,02,122,03110,59414,43,8,3027,0200,-4,N,E,100,POINTADDRESS,9,-1
AK,AK0002,007,Y,AK0002-007,CHUGIAK-EAGLE RIVER LIBRARY,12001 BUSINESS BOULEVARD #176,EAGLE RIVER,99577,7743,ANCHORAGE,9073431530,BR,25452,R_20,0,1778,R_20,48,R_20,2021,08,00,00,00,-149.5713885,61.32959269,02,020,03000,287095,31,2.01,2000,0200,11260,0,E,100,SUBADDRESS,0,0
AK,AK0002,008,Y,AK0002-008,MULDOON LIBRARY,"1251 MULDOON ROAD, SUITE 158",ANCHORAGE,99504,2070,ANCHORAGE,9073434223,BR,8204,R_20,0,1935,R_20,52,R_20,2021,08,00,00,00,-149.7334126,61.21061698,02,020,03000,287095,11,7.03,5009,0200,11260,0,E,100,SUBADDRESS,0,0
AK,AK0002,010,Y,AK0002-010,SCOTT AND WESLEY GERRISH LIBRARY,250 EGLOFF DRIVE,GIRDWOOD,99587,M,ANCHORAGE,9073434024,BR,3938,R_20,0,1932,R_20,52,R_20,2021,08,00,00,00,-149.1349747,60.96014208,02,020,03000,287095,42,29,2090,0200,11260,0,E,100,POINTADDRESS,0,0
AK,AK0002,011,Y,AK0002-011,Z. J. LOUSSAC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,6055,ANCHORAGE,9073432892,CE,146171,R_20,0,3060,R_20,52,R_20,2021,08,00,00,00,-149.8764562,61.1870715,02,020,03000,287095,11,19,4016,0200,11260,0,E,100,POINTADDRESS,0,0
AK,AK0002,012,Y,AK0002-012,MOUNTAIN VIEW LIBRARY,120 SOUTH BRAGAW STREET,ANCHORAGE,99508,1307,ANCHORAGE,9073432819,BR,10704,R_20,0,1954,R_20,52,R_20,2021,08,00,00,00,-149.8085247,61.22262309,02,020,03000,287095,11,9.01,2000,0200,11260,0,E,99.04,POINTADDRESS,0,0
AK,AK0003,002,Y,AK0003-002,ANDERSON COMMUNITY LIBRARY,101 FIRST STREET,ANDERSON,99744,M,DENALI,9075822628,CE,3041,R_20,0,400,R_20,40,R_20,2021,08,00,00,00,-149.1744083,64.34374942,02,068,03220,2081,43,1,1011,0200,-4,N,E,99.62,STREETADDRESS,8,8
AK,AK0006,002,Y,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,420 CHIEF EDDIE HOFFMAN HIGHWAY,BETHEL,99559,M,BETHEL,9075434516,CE,3656,R_20,0,1600,R_20,40,R_20,2021,08,00,00,00,-161.7736923,60.79058917,02,050,06520,18437,33,2,2018,0200,-4,N,E,93.91,STREETNAME,11,-1
AK,AK0007,002,Y,AK0007-002,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,9663,MATANUSKA-SUSITNA,9078617635,CE,6940,R_20,0,2193,R_20,43,R_20,2021,08,00,00,00,-149.8186701,61.54772359,02,170,07070,110213,42,5.02,1009,0200,11260,0,E,99.58,POINTADDRESS,8,10
AK,AK0008,002,Y,AK0008-002,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,M,DENALI,9077682372,CE,1315,R_20,0,582,R_20,39,R_20,2021,08,00,00,00,-148.8948017,63.3923707,02,068,10150,2081,43,1,2176,0200,-4,N,E,95.86,STREETNAME,9,0
AK,AK0011,002,N,AK0011-002,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615,M,KODIAK ISLAND,-4,CE,1440,R_20,0,60,R_20,6,R_20,2021,08,00,00,00,-152.2335921,57.6122436,02,150,13860,12992,43,1,3035,0200,-4,N,E,99.9,STREETADDRESS,16,0
AK,AK0014,002,Y,AK0014-002,COLD BAY PUBLIC LIBRARY,10 BARANOV ROAD,COLD BAY,99571,M,ALEUTIANS EAST,9075322878,CE,1623,R_20,0,320,R_20,32,R_20,2021,08,00,00,00,-162.7150695,55.20658544,02,013,16530,3401,43,1,1178,0200,-4,N,E,98.25,STREETNAME,16,0
AK,AK0015,002,N,AK0015-002,COOPER LANDING COMMUNITY LIBRARY,18511 BEAN CREEK ROAD,COOPER LANDING,99572,M,KENAI PENINSULA,9075951241,CE,1320,R_20,0,756,R_20,36,R_20,2021,08,00,00,00,-149.8238238,60.49398903,02,122,17190,59414,43,3,1133,0200,-4,N,E,100,POINTADDRESS,16,0
AK,AK0016,002,Y,AK0016-002,CORDOVA PUBLIC LIBRARY,601 FIRST STREET,CORDOVA,99574,M,VALDEZ-CORDOVA,9074246667,CE,5652,R_20,0,1394,R_20,36,R_20,2021,08,00,00,00,-145.7584917,60.54440438,02,063,17410,6427,43,2,2010,0200,-4,N,E,93.17,STREETNAME,16,0
AK,AK0017,003,Y,AK0017-003,CRAIG PUBLIC LIBRARY,504 THIRD STREET,CRAIG,99921,M,PR WALES-OUTER KE,9078263281,CE,1800,R_20,0,1599,R_20,35,R_20,2021,08,00,00,00,-133.1514427,55.47607867,02,198,17740,6147,M,2,3031,0200,-4,N,E,96.5,STREETADDRESS,11,6
AK,AK0018,002,Y,AK0018-002,IPNATCHIAQ LIBRARY,59 MAIN STREET,DEERING,99736,M,NORTHWEST ARCTIC,9073632136,CE,375,IP19,0,365,R_20,34,R_20,2021,08,25,00,00,-162.7196162,66.07485877,02,188,18510,7644,43,1,5078,0200,-4,N,E,88.29,POSTAL,18,0
AK,AK0019,002,Y,AK0019-002,DELTA COMMUNITY LIBRARY,2291 DEBORAH STREET,DELTA JUNCTION,99737,M,SE FAIRBANK,9078954102,CE,5000,R_20,0,2187,R_20,43,R_20,2021,08,00,00,00,-145.734613,64.0468044,02,240,18620,6957,43,4,1070,0200,-4,N,E,97.87,STREETADDRESS,9,5
AK,AK0020,002,Y,AK0020-002,DILLINGHAM PUBLIC LIBRARY,306 D STREET WEST,DILLINGHAM,99576,M,DILLINGHAM,9078425610,CE,2430,R_20,0,1080,R_20,38,R_20,2021,08,00,00,00,-158.4634525,59.04064089,02,070,18950,4833,43,2,1020,0200,-4,N,E,99.04,STREETADDRESS,14,2
AK,AK0021,002,Y,AK0021-002,EAGLE PUBLIC LIBRARY,4TH & AMUNDSEN,EAGLE,99738,M,SE FAIRBANK,9075472334,CE,1500,R_20,0,700,R_20,37,R_20,2021,08,00,00,00,-141.2084499,64.78697004,02,240,20380,6957,43,1,1051,0200,-4,N,E,95.12,STREETINT,11,3
